UniqueID,Section,Semester,TestControl,LAB_Avg_PI,LAB_grade_Avg,ASSIGN_PI_avg,ASSIGN_grade_Avg,QUIZ_PI_Avg,Quiz_Grade_Avg.,Final_PI_Avg,Final_Grade_Avg,final_weigth_PI
97150854,1113W01,SP23,Test,0,100,0,100,0,89.166,0,93.5,0
60817458,1113W01,SP23,Test,0,99.597,0,100,0,82.915,0,89.668,0
73984762,1113W01,SP23,Test,0.125,100,0,100,0.375,85.833,0.167,91.5,0.25
76364366,1113W01,SP23,Test,0.125,98.823,0.375,78.428,0.5,88.334,0.333,88.45,0.4
20551216,1113W01,SP23,Test,0.375,53.995,0,90.79,0.875,65,0.417,67.957,0.6
97150854,1113W01,SP23,Test,0,100,0.125,100,0.125,94.168,0.083,96.501,0.1
97150854,1113W01,SP23,Test,0,100,0.125,99.219,0,90.416,0.042,94.094,0.025
97150854,1113W01,SP23,Test,0,100,0.875,93.458,0.5,85.835,0.458,90.193,0.475
90911673,1113W01,SP23,Test,0.875,80.203,0.75,76.411,1,84.584,0.875,82.073,0.925
16708962,1113W01,SP23,Test,0.5,90.515,0.25,100,0,79.168,0.25,85.604,0.15
90679907,1113W01,SP23,Test,0,94.686,0.125,100,0,84.164,0.042,89.435,0.025
49024053,1113W01,SP23,Test,0,98.203,0.25,100,0.125,94.168,0.125,96.141,0.125
33860399,1113W01,SP23,Test,0.625,56.473,0.75,52.115,0.75,70.557,0.708,64.052,0.725
22869305,1113W01,SP23,Test,0.25,100,0.625,100,0.375,92.499,0.417,95.499,0.4
64024485,1113W01,SP23,Test,0,98.104,0,100,0,84.169,0,90.122,0
54460427,1113W01,SP23,Test,0,99.621,0,100,0,90.415,0,94.173,0
50557408,1113W01,SP23,Test,0,95.235,0.5,100,0.25,80.415,0.25,87.296,0.25
48392976,1113W01,SP23,Test,0.625,72.229,0.125,100,0.125,88.749,0.292,87.695,0.225
91064371,1113W01,SP23,Test,0.5,98.033,0.125,99.099,0,85.418,0.208,90.677,0.125
48653318,1113W01,SP23,Test,0.875,62.5,0.5,83.333,0.75,72.668,0.708,72.767,0.725
11936364,1113W01,SP23,Test,0.125,99.632,0.25,100,0,92.916,0.125,95.676,0.075
34625199,1113W01,SP23,Test,0.125,98.875,0.25,100,0,85.416,0.125,91.025,0.075
73984762,1113W01,SP23,Test,0.125,100,0.125,100,0,89.168,0.083,93.501,0.05
50972322,1113W01,SP23,Test,0.125,99.205,0,100,0,82.084,0.042,89.091,0.025
97139235,1113W01,SP23,Test,0.125,96.073,0,100,0,89.169,0.042,92.716,0.025
5307030,1113W01,SP23,Test,0.25,77.689,0,100,0,82.5,0.083,85.038,0.05
73984762,1113W01,SP23,Test,0.125,100,0,100,0,94.585,0.042,96.751,0.025
60139211,1113W01,SP23,Test,0.125,78.255,0.25,100,0,78.75,0.125,82.901,0.075
97732684,1113W02,SP23,Control,0.375,0,1,0,1,0,0.792,0,0.875
